page	column	source_form	historical_gloss	pt_br	domain
320	a	Yacauitzticayotl	agudeza de punta	agudeza de ponta	objetos
320	a	Yacauitztic	mitl, pua o cosa puntiaguda	dardo, ponta ou coisa pontuda	objetos
320	a	Yacaxitl	piedra preciosa con que componian y adornauan los nobles las narizes	pedra preciosa usada para adornar o nariz	objetos
320	a	Yayacayotl	flaqueza de doliente y debilitado	fraqueza de doente e debilitado	corpo
320	a	Yayacana	nite. guiar a otros frequentemente	iar guiando outros com frequência	movimento
320	a	Yayacatzintli	debilitado y flaco	debilitado e fraco	corpo
320	a	Yayactic	cosa hosca y morena	coisa áspera e morena	natureza
320	a	Yayamaztic	cosa blanda y muelle	coisa macia e flexível	objetos
320	a	Yayaotla	tito. escaramuçar vnos con otros	combater em escaramuça	guerra
320	a	Yayapaleualiztli	mancha del rostro o del cuerpo, o señal de cardenal	mancha no rosto ou no corpo; sinal de contusão	corpo
320	a	Yayapaleuctic	pecoso	com sardas	corpo
320	a	Yayatiacac	ni. bambanearse lo que esta en hielo	balançar-se sobre o gelo	movimento
320	b	Yayatinemi	passearse	passear-se	movimento
320	b	Yayatinemoayan	passeadero	lugar de passeio	espaço
320	b	Yayatiuh	andar, o ir andando poco a poco	andar pouco a pouco	movimento
320	b	Yayaualhuia	estar muchos al derredor de alguna persona noble	estar muitos ao redor de pessoa nobre	sociedade
320	b	Yayaualhoa	nite. cercar a los enemigos	cercar os inimigos	guerra
320	b	Yalhua	ayer	ontem	tempo
320	b	Yalhuayuuua	antenoche	anteontem	tempo
320	b	Yaliztli	ida o partida para algun lugar	ida ou partida para algum lugar	movimento
320	b	Yaloyo	mi hija	minha filha	parentesco
320	b	Yamactic	cosa blanda y muelle	coisa macia e flexível	objetos
320	b	Yamactontli	cosa blandilla asi	coisa um pouco macia	objetos
320	b	Yamanca	blandamente	suavemente	objetos
320	b	Yamancacuica	ni. cantar suavemente	cantar suavemente	fala
320	b	Yamancay	bever vino donzel, o otras cosas suaues y delicadas	beber vinho novo ou coisas suaves	alimentos
320	b	Yamancayotl	blandura, y ser metaphori que re decir riqueza y prosperidad	maciez; riqueza e prosperidade	qualidades
320	b	Yamancatontli	blandilla cosa	coisa macia	objetos
320	b	Yamania	ni. estar templado el cuerpo	estar com o corpo temperado	corpo
320	b	Yamania	nitla. ablandar o adobar cueros, o entibiar lo que esta muy caliente	amolecer couro ou temperar algo quente	trabalho
320	b	Yamanilia	nitla. amolentar algo, o entibiarlo	amolecer ou aquecer algo	trabalho
320	b	Yamaniliztli	blandura	maciez	qualidades
320	b	Yamanqui	cosa blanda y muelle	coisa macia e flexível	objetos
340	b	Yollotequiçaliztli	dureza y obstinacion asi	dureza e obstinação	emoções
340	b	Yollotetecuica	no alterarse ni dolerme el coraçon	não alterar-se nem doer o coração	corpo
340	b	Yollotetecuicuiliztli	dolor o alteracion del coraçon	dor ou alteração do coração	corpo
340	b	Yolloteni	endurecerse perseverado en el mal	endurecer-se perseverando no mal	emoções
340	b	Yollotetia	ni. ed. pret. oniyollotetiac	forma verbal registrada na fonte	NOT_REVIEWED
340	b	Yollotetilia	nite. endurecer y obstinar a otro asi	endurecer ou obstinar outra pessoa	emoções
340	b	Yollotetiliztica	obstinadamente, o animosa y esforçadamente	obstinadamente ou com esforço	emoções
340	b	Yollotetiliztli	endurecimiento y obstinacion, o animosidad y esfuerzo	endurecimento; obstinação e esforço	emoções
340	b	Yollotetl	coçonate y animoso, o duro y obstinado	corajoso e animoso; duro e obstinado	pessoas
340	b	Yollotia	ni. notla. decorar algo. preterito oninotlayolloti	aprender algo de cor	cognição
340	b	Yollotia	nite. inspirar algo a otro. preterito oniteyolloti	inspirar algo a outra pessoa	cognição
340	b	Yollotlacac	ni. endurecerse y obstinarse en el mal	endurecer-se e obstinar-se no mal	emoções
340	b	Yollotlaquauililiztli	dureza asi	dureza	qualidades
340	b	Yollotlaquaua	ni. endurecerse desta manera	endurecer-se desta maneira	emoções
340	b	Yollotlaquauac	endurecido desta manera	endurecido desta maneira	emoções
340	b	Yollotlaquaualiztica	obstinadamente asi	obstinadamente	emoções
340	b	Yollotlatlamia	mirar al mismo	olhar o próprio	percepção
